# Table of coefficients for rimed dendritic aggregates from Leinonen and Szymer 2015 
# author: Leonie von Terzi, email:lterzi@uni-koeln.de
# Particles generated with an inverse exponential PSD of monomers, size_parameter:650e-6, min_size:0.0001, max_size:0.003, grid_res:4e-5, riming_mode:subsequent, elwp:2.0
# am=1.00151733,bm=2.18478416,av=6.10700016,bv=0.07891051,aa=0.19832,ba=1.82214928
Diam_max,mass,area,vel_Bohm,vel_KC,beta,gamma,kappa,zeta,alpha_eff
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.965878e-06,4.144000e-06,3.066494e+00,2.796561e+00,2.929378e-03,6.675860e-01,-3.168450e+00,1.311670e-01,5.220580e-02,8.994490e-01
3.271924e-06,5.782682e-06,3.421606e+00,3.077429e+00,3.456968e-03,6.485200e-01,-3.171620e+00,1.397870e-01,6.269000e-02,8.797330e-01
7.497000e-06,1.087764e-05,3.992585e+00,3.410409e+00,4.625588e-03,1.286920e+00,-3.426430e+00,1.471650e-01,5.019450e-02,8.563040e-01
1.182377e-05,1.482234e-05,4.209390e+00,3.565353e+00,5.506220e-03,1.530710e+00,-3.491380e+00,1.505690e-01,4.567330e-02,8.414380e-01
1.811021e-05,2.084428e-05,4.321002e+00,3.603268e+00,6.486969e-03,1.759530e+00,-3.505540e+00,1.471720e-01,3.762620e-02,8.386800e-01
2.641610e-05,2.906043e-05,4.368012e+00,3.596536e+00,7.547908e-03,1.836990e+00,-3.496930e+00,1.419040e-01,4.127310e-02,8.233570e-01
3.378677e-05,3.668224e-05,4.282438e+00,3.574959e+00,8.606033e-03,1.936810e+00,-3.506440e+00,1.395510e-01,4.137270e-02,8.104000e-01
4.196877e-05,4.225760e-05,4.320491e+00,3.681120e+00,9.483650e-03,2.106610e+00,-3.454770e+00,1.245110e-01,4.452730e-02,8.023830e-01
5.124664e-05,5.184203e-05,4.336443e+00,3.663241e+00,1.032142e-02,2.860690e+00,-3.579960e+00,1.163740e-01,3.863010e-02,7.796450e-01
6.347014e-05,6.162773e-05,4.318186e+00,3.745865e+00,1.159924e-02,2.304680e+00,-3.450880e+00,1.247160e-01,4.571860e-02,7.675530e-01
7.990879e-05,7.358667e-05,4.460589e+00,3.846128e+00,1.255843e-02,2.352580e+00,-3.419580e+00,1.426120e-01,3.541430e-02,7.516500e-01
8.463391e-05,7.726147e-05,4.360396e+00,3.869475e+00,1.335180e-02,2.865470e+00,-3.496200e+00,1.302970e-01,3.795240e-02,7.517150e-01
1.070265e-04,9.360204e-05,4.502423e+00,3.963326e+00,1.450117e-02,3.292170e+00,-3.490610e+00,1.248140e-01,3.690220e-02,7.633820e-01
1.180190e-04,1.025715e-04,4.437329e+00,3.982855e+00,1.559109e-02,2.277840e+00,-3.296870e+00,1.213240e-01,4.199680e-02,7.672600e-01
1.298767e-04,1.100099e-04,4.439459e+00,4.037376e+00,1.642079e-02,4.015140e+00,-3.500140e+00,9.875930e-02,3.488420e-02,7.595770e-01
1.530811e-04,1.316936e-04,4.501321e+00,4.013902e+00,1.751278e-02,2.760990e+00,-3.386120e+00,1.422060e-01,4.526760e-02,7.503080e-01
1.612336e-04,1.383904e-04,4.405297e+00,4.028955e+00,1.853200e-02,3.254910e+00,-3.361340e+00,1.329090e-01,4.502000e-02,7.445090e-01
1.865392e-04,1.568860e-04,4.478888e+00,4.078658e+00,1.963776e-02,4.614910e+00,-3.500380e+00,1.267860e-01,3.975320e-02,7.303170e-01
2.034064e-04,1.723489e-04,4.493461e+00,4.058685e+00,2.040524e-02,2.829940e+00,-3.360450e+00,1.533150e-01,4.355970e-02,6.976350e-01
2.164477e-04,1.813726e-04,4.433612e+00,4.098758e+00,2.153628e-02,2.469410e+00,-3.268810e+00,1.534550e-01,5.008510e-02,6.915830e-01
2.269414e-04,1.840555e-04,4.380428e+00,4.166778e+00,2.254752e-02,2.071250e+00,-3.162150e+00,1.656180e-01,6.023120e-02,7.004510e-01
